Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
130000.0,2.0,1625.0,6,25,2010,80.0,37.0,14.0,Перемоги,Шевченківський,29.0
135000.0,2.0,2523.0,28,34,2018,69.0,37.0,14.0,Перемоги,Шевченківський,18.0
90900.0,1.0,1748.0,14,36,2009,52.0,37.0,14.0,Перемоги,Шевченківський,1.0
91260.0,1.0,1738.0,29,36,2009,69.0,17.0,14.0,Перемоги,Шевченківський,38.0
86000.0,1.0,1654.0,8,36,2009,52.0,19.0,14.0,Перемоги,Шевченківський,19.0
95000.0,3.0,1118.0,2,15,2019,85.0,47.0,13.0,Перемоги,Шевченківський,25.0
52500.0,1.0,1094.0,9,22,2009,48.0,37.0,21.0,Перемоги,Шевченківський,0.0
302200.0,4.0,2001.0,5,22,2013,151.0,37.0,14.0,Перемоги,Шевченківський,100.0
113261.0,2.0,1421.0,9,36,1961,69.0,37.0,14.0,Перемоги,Шевченківський,18.0
80000.0,2.0,1250.0,11,16,2009,64.0,35.0,16.0,Перемоги,Шевченківський,13.0
101000.0,1.0,1772.0,33,36,2009,57.0,37.0,14.0,Перемоги,Шевченківський,6.0
320000.0,3.0,3107.0,8,24,2013,103.0,37.0,16.0,Перемоги,Шевченківський,50.0
43000.0,2.0,782.0,24,26,2009,55.0,37.0,11.0,Перемоги,Шевченківський,7.0
91000.0,1.0,1750.0,33,35,2009,52.0,20.0,22.0,Перемоги,Шевченківський,10.0
89000.0,1.0,2342.0,7,15,2009,38.0,20.0,7.0,Перемоги,Шевченківський,11.0
46998.0,2.0,1000.0,5,5,1968,47.0,35.0,8.0,Братиславська,"Деснянський, Дніпровський",4.0
298000.0,3.0,2249.0,11,23,2016,69.0,37.0,14.0,Трускавецька,Дарницький,18.0
250000.0,3.0,2809.0,3,23,2019,89.0,37.0,14.0,Трускавецька,Дарницький,38.0
100000.0,1.0,2000.0,3,23,2016,50.0,28.0,20.0,Трускавецька,Дарницький,2.0
43100.0,1.0,1390.0,8,26,2018,31.0,16.0,5.0,Каховська,Дніпровський,10.0
118000.0,3.0,1494.0,17,25,2018,79.0,36.0,35.0,Каховська,Дніпровський,8.0
41000.0,1.0,1323.0,21,26,2018,31.0,12.0,8.0,Каховська,Дніпровський,11.0
54100.0,1.0,1339.0,4,26,2018,69.0,37.0,14.0,Каховська,Дніпровський,18.0
70500.0,2.0,1203.0,20,26,2020,69.0,28.0,14.0,Каховська,Дніпровський,27.0
160000.0,3.0,2000.0,21,25,2018,80.0,37.0,14.0,Каховська,Дніпровський,29.0
81000.0,3.0,1012.0,17,25,2018,80.0,60.0,14.0,Каховська,Дніпровський,6.0
110000.0,1.0,1930.0,19,25,2008,57.0,37.0,14.0,Голосіївська,Голосіївський,6.0
152000.0,2.0,1667.0,24,25,2008,69.0,41.0,14.0,Голосіївська,Голосіївський,14.0
50000.0,1.0,1667.0,5,5,1962,30.0,16.0,5.0,Голосіївська,Голосіївський,9.0
225000.0,3.0,2022.0,11,25,2008,69.0,37.0,14.0,Голосіївська,Голосіївський,18.0
100000.0,1.0,1667.0,13,25,2008,60.0,21.0,17.0,Голосіївська,Голосіївський,22.0
47000.0,1.0,1146.0,5,16,1990,41.0,10.0,16.0,Тираспольська,Подільський,15.0
60000.0,1.0,1277.0,5,16,2009,47.0,22.0,14.0,Тираспольська,Подільський,11.0
45000.0,1.0,1214.9,5,16,1990,69.0,37.0,14.0,Тираспольська,Подільський,18.0
90000.0,2.0,2195.0,1,9,2009,41.0,28.0,6.0,Лаврська,Печерський,7.0
44980.0,1.0,1249.0,19,25,2017,36.0,16.0,14.0,Правди,Подільський,6.0
67000.0,2.0,971.0,3,26,2021,69.0,25.0,21.0,Правди,Подільський,23.0
80000.0,1.0,2105.0,11,21,2017,38.0,12.0,15.0,Правди,Подільський,11.0
80000.0,2.0,1067.0,6,26,2009,75.0,27.0,21.0,Правди,Подільський,27.0
52500.0,1.0,1117.0,15,25,2019,47.0,15.0,18.0,Правди,Подільський,14.0
84000.0,3.0,944.0,8,26,2009,89.0,43.0,18.0,Правди,Подільський,28.0
53000.0,1.0,1104.0,8,25,2009,48.0,14.0,19.0,Правди,Подільський,15.0
84000.0,2.0,1000.0,19,25,2009,84.0,37.0,23.0,Правди,Подільський,24.0
50000.0,1.0,1316.0,18,24,2019,38.0,17.0,10.0,Правди,Подільський,11.0
58000.0,1.0,1286.0,24,25,2009,69.0,37.0,14.0,Правди,Подільський,18.0
65000.0,1.0,1182.0,5,18,2009,55.0,37.0,21.0,Правди,Подільський,0.0
115000.0,2.0,1742.0,15,25,2018,66.0,30.0,18.0,Правди,Подільський,18.0
73860.0,2.0,1319.0,5,9,2009,56.0,30.0,9.0,Йорданська,Оболонський,17.0
135000.0,3.0,1588.0,8,10,2015,85.0,49.0,12.0,Регенераторна,Дніпровський,24.0
94000.0,1.0,2043.0,1,9,2009,46.0,37.0,14.0,Регенераторна,Дніпровський,0.0
146000.0,3.0,1718.0,1,9,2015,85.0,40.0,17.0,Регенераторна,Дніпровський,28.0
120000.0,1.0,2400.0,12,23,2015,50.0,18.0,15.0,Зарічна,Дарницький,17.0
104000.0,3.0,1169.0,18,26,2009,89.0,37.0,40.0,Зарічна,Дарницький,12.0
185000.0,2.0,2256.0,5,21,2015,82.0,61.0,12.0,Зарічна,Дарницький,9.0
130032.0,2.0,1548.0,15,25,2016,84.0,50.0,17.0,Зарічна,Дарницький,17.0
150000.0,2.0,2459.0,23,25,2015,61.0,33.0,9.0,Зарічна,Дарницький,19.0
140000.0,3.0,1265.0,6,9,2009,69.0,37.0,38.0,Зарічна,Дарницький,0.0
73000.0,1.0,1521.0,20,26,2018,48.0,10.0,23.0,Зарічна,Дарницький,15.0
160000.0,3.0,1356.0,11,25,2015,118.0,85.0,33.0,Зарічна,Дарницький,0.0
139900.0,4.0,1260.0,6,9,2009,111.0,37.0,14.0,Зарічна,Дарницький,60.0
90000.0,4.0,1059.0,4,10,1994,85.0,37.0,14.0,Курнатовського,"Дніпровський, Деснянський",34.0
187000.0,3.0,1550.0,2,5,1934,69.0,37.0,14.0,Інститутська,Печерський,18.0
1500000.0,5.0,5000.0,8,18,2009,300.0,37.0,14.0,Інститутська,Печерський,249.0
